BHID,FROM,TO,LENGTH,CLV,CLM,CLI,feglc,siglc,pglc,alglc,mnglc,pfglc,tiglc,mgglc,caglc,foglc,peso,Indicador_Itabirito,Indicador_Hematita,Hematita_Itabirito,Divisao_Itabiritos
CAP-FD00004,104.7,114.8,10.1,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,114.8,124.75,9.95,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,124.75,135.85,11.1,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,135.85,147.25,11.4,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,147.25,159,11.75,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,159,168.65,9.65,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,168.65,177.15,8.5,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,177.15,186.8,9.65,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,186.8,195.75,8.95,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,195.75,206.35,10.6,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,206.35,217.6,11.25,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,217.6,227.65,10.05,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,227.65,235.7,8.05,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,235.7,243.25,7.55,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,243.25,335.2,91.95,QXF,QT,QT,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,Ignorado,Ignorado
