BHID;FROM;TO;LITO;feglc;siglc;pglc;alglc;mnglc;pfglc;tiglc;mgglc;caglc;foglc;peso
FDCM0035;167.65;177.45;IC;36.20715;52.21335;0.02415;0.1407;0.00315;1.3692;0.00105;0.00105;0.0147;0.3045;3.19
FDCM0035;177.45;186.95;IC;42.07035;43.3293;0.0357;0.14595;0.00105;1.6233;0.00105;0.01155;0.0042;0.2121;3.19
FDCM0035;186.95;196.55;IC;41.71965;43.4952;0.04725;0.1554;0.0042;2.12625;0.00105;0.00315;0.0084;0.54495;3.19
FDCM0035;196.55;206.2;IC;36.9747;50.20365;0.0336;0.1344;0.00105;1.6191;0.00105;0.01575;0.0063;0.4116;3.19
FDCM0035;206.2;216.35;IC;39.94515;47.2941;0.0231;0.1323;0.00735;1.0164;0.00105;0.07455;0.01785;0.9534;3.19
FDCM0035;216.35;225.05;IC;41.7732;44.2344;0.02835;0.26355;0.0042;1.04265;0.0063;0.1113;0.0084;0.8715;3.19
FDCM0035;225.05;234;IC;37.779;50.36115;0.02625;0.1596;0.00105;0.8484;0.00315;0.0504;0.00735;0.5355;3.19
FDCM0035;234;242.45;IGO;40.83345;45.50805;0.2541;0.231;0.0021;0.9261;0.00105;0.41895;0.0294;0.76125;3.19
FDCM0035;242.45;250;IC;43.42485;40.61925;0.0126;0.28875;0.0042;1.14975;0.0042;0.22155;0.00525;1.29465;3.19
FDCM0037;0;11.2;IFR;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
FDCM0037;11.2;21;IFR;61.71375;13.3245;0.09555;0.81585;0.0084;2.14725;0.0273;0.0126;0.0126;0.87045;2.47
FDCM0037;21;31.8;IFR;54.9507;23.0328;0.04515;0.6888;0.0168;2.06115;0.0126;0.05775;0.0105;0.69195;2.47
FDCM0037;31.8;41.05;IF;47.67105;34.60065;0.0441;0.5124;0.0168;1.7976;0.0126;0.063;0.01365;0.4809;2.47
FDCM0037;41.05;50.55;IF;43.5162;40.6917;0.02415;0.84105;0.0084;1.28835;0.0126;0.042;0.0105;0.5607;2.47
FDCM0037;50.55;60.65;IF;40.43655;45.2508;0.0273;0.57855;0.00525;1.31775;0.00735;0.02835;0.0126;0.2898;2.47
FDCM0037;60.65;70.5;IF;41.4645;43.72935;0.03465;0.4851;0.0084;1.30935;0.0105;0.0084;0.00735;0.3486;2.47
FDCM0037;70.5;79;IF;39.35715;46.44255;0.05145;0.8673;0.0168;1.8249;0.0147;0.07665;0.01575;0.3444;2.47
FDCM0037;79;88.55;IF;40.79565;42.23205;0.1008;1.42905;0.0504;3.12375;0.02835;0.1029;0.0252;0.1869;2.47
FDCM0037;88.55;98.9;IF;41.7648;39.2847;0.08715;2.42445;0.0588;3.2949;0.02415;0.10185;0.01365;0.29505;2.47
FDCM0037;98.9;104.95;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
FDCM0037;104.95;112.85;IF;45.05025;38.00475;0.0546;0.9723;0.00945;1.7094;0.02835;0.02415;0.0168;0.2982;2.47
FDCM0037;112.85;120.2;IF;41.41305;43.76505;0.0441;0.52815;0.0063;1.48155;0.0126;0.01785;0.0126;0.3192;2.47
FDCM0037;120.2;126.3;IF;51.1581;25.9896;0.1029;1.4028;0.0336;3.43665;0.03885;0.0609;0.01365;0.21105;2.47
FDCM0037;126.3;132.35;IF;47.0316;34.86105;0.0546;0.504;0.01365;1.95405;0.01785;0.05565;0.0084;0.4998;2.47
FDCM0037;132.35;155.45;IN;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
FDCM0038;0;7.25;HF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.14
FDCM0038;7.25;14.9;HF;67.8636;3.54795;0.0315;0.83055;0.01575;2.8455;0.01575;0.0336;0.0105;0.20685;3.14
FDCM0038;14.9;24.4;HF;64.90365;8.81895;0.0231;0.45255;0.01995;2.0349;0.0189;0.04935;0.00945;0.26145;3.14
FDCM0038;24.4;34.3;HF;67.03305;6.0396;0.0504;0.6195;0.01785;2.4759;0.04725;0.04725;0.0126;0.30345;3.14
FDCM0038;34.3;44.75;HF;67.05615;5.70465;0.06825;0.3444;0.0252;2.8581;0.01785;0.03675;0.0147;0.36015;3.14
FDCM0038;44.75;54.35;HF;66.2466;6.02175;0.04725;0.9156;0.02835;3.1227;0.05775;0.05775;0.0168;0.31605;3.14
FDCM0038;54.35;63.35;IFR;64.31775;8.35695;0.04515;1.323;0.02205;2.97675;0.05145;0.0567;0.00945;0.32445;2.47
FDCM0038;63.35;71.2;IFR;54.19575;24.17415;0.0273;0.36435;0.01575;2.1777;0.0168;0.04725;0.00735;0.8379;2.47
FDCM0038;71.2;78.45;IF;51.4437;28.61775;0.04515;0.40845;0.0189;2.2008;0.0021;0.01785;0.00735;0.3402;2.47
FDCM0038;78.45;91.8;IC;46.62735;36.60825;0.0252;0.26775;0.0105;1.4889;0.0021;0.0525;0.02205;0.29295;3.19
FDCM0038;91.8;103.65;IC;46.347;36.2124;0.0315;0.34545;0.01575;2.07165;0.0021;0.02205;0.0063;0.3129;3.19
FDCM0038;103.65;114.95;IC;47.565;34.9797;0.0504;0.2205;0.0126;2.0412;0.00105;0.0021;0.00945;0.6951;3.19
FDCM0038;114.95;125.8;IF;47.3823;34.6878;0.0357;0.5691;0.00315;1.5057;0.01995;0.0063;0.0126;0.58695;2.47
FDCM0038;125.8;131.95;IC;45.0723;38.7702;0.02625;0.21945;0.00315;1.30095;0.0042;0.00105;0.00945;0.45255;3.19
FDCM0038;131.95;138;IF;46.9602;35.2506;0.05985;0.33075;0.01995;2.3415;0.00945;0.0084;0.00735;0.3717;2.47
FDCM0038;138;148.6;IF;41.937;42.6405;0.0399;0.39585;0.00735;1.6317;0.0168;0.0063;0.00945;0.6594;2.47
FDCM0038;148.6;158.45;IC;42.03465;42.55545;0.03465;0.42945;0.01575;1.73775;0.01155;0.021;0.0084;0.34755;3.19
FDCM0038;158.45;169;IC;37.5102;49.329;0.0546;0.19845;0.0105;2.2176;0.0063;0.1806;0.0189;0.315;3.19
FDCM0038;169;178.95;IF;39.9924;45.4272;0.0567;0.2772;0.0231;1.6002;0.00525;0.03675;0.01365;0.3087;2.47
FDCM0038;178.95;185.75;IF;37.6404;46.78065;0.08085;0.6678;0.0336;2.9295;0.0357;0.01155;0.0147;0.4872;2.47
FDCM0038;185.75;195.35;IC;39.3939;45.8241;0.03675;0.1848;0.0126;1.86795;0.0063;0.0063;0.0063;1.0437;3.19
FDCM0038;195.35;204.75;IC;39.14925;46.1517;0.05355;0.40845;0.0189;1.6254;0.01995;0.0126;0.01155;0.4662;3.19
FDCM0038;204.75;214;IC;34.4862;54.432;0.02835;0.14595;0.0084;1.00275;0.0105;0.0105;0.00525;0.6489;3.19
FDCM0038;214;223.15;IC;35.9205;51.0804;0.0609;0.4116;0.0294;1.7535;0.0084;0.0168;0.01155;0.5754;3.19
FDCM0038;223.15;233.35;IC;34.45575;54.19575;0.03045;0.2751;0.0105;1.13715;0.0042;0.0063;0.0042;0.3507;3.19
FDCM0038;233.35;244.15;IN;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
FDCM0040;0;5.25;IGO;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
FDCM0040;5.25;13.35;IGO;41.24715;37.79685;0.1134;3.2655;0.03465;4.1706;0.05775;0.1176;0.01995;0.2982;3.19
FDCM0040;13.35;20.9;IGO;34.40535;47.5314;0.1197;2.8917;0.03885;4.5549;0.0525;0.0735;0.02415;0.24885;3.19
FDCM0040;20.9;28.6;IGO;45.91965;31.2522;0.07245;3.44925;0.0294;3.72855;0.0756;0.1071;0.0084;0.49245;3.19
FDCM0040;28.6;35.8;IGO;49.43295;25.48245;0.08085;3.9942;0.03045;3.73695;0.09135;0.0882;0.01785;0.3738;3.19
FDCM0040;35.8;38.6;IN;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
FDCM0040;38.6;47.85;IF;45.7548;36.141;0.063;1.03005;0.0168;2.2197;0.03045;0.0567;0.0168;0.45885;2.47
FDCM0040;47.85;57.45;IF;41.3805;42.38745;0.0441;1.1445;0.0105;1.51935;0.0189;0.0336;0.02835;0.53445;2.47
FDCM0040;57.45;67.8;IF;40.1205;45.0156;0.04305;1.32405;0.0189;1.5939;0.0273;0.05355;0.0273;0.4095;2.47
FDCM0040;67.8;77.85;IF;34.0515;54.34905;0.042;1.12455;0.0168;1.2285;0.02205;0.03465;0.02625;0.3045;2.47
FDCM0040;77.85;87;IF;33.0855;55.9881;0.042;0.5859;0.0084;1.37655;0.0042;0.0378;0.021;0.5439;2.47
FDCM0040;87;97.55;IF;36.393;50.8872;0.05355;0.4179;0.0063;1.5036;0.0042;0.0462;0.0504;0.189;2.47
FDCM0040;97.55;107.9;IF;33.012;54.85515;0.0714;0.6153;0.0084;1.87635;0.00735;0.03465;0.04515;0.189;2.47
FDCM0040;107.9;117.2;IF;40.0155;45.9921;0.06825;0.3612;0.0084;1.6737;0.0042;0.0378;0.02415;0.19635;2.47
FDCM0040;117.2;127.4;IF;34.3875;53.0355;0.05775;0.45885;0.0126;1.9299;0.0063;0.0483;0.03045;0.2709;2.47
FDCM0040;127.4;137.95;IF;30.1455;59.5623;0.0567;0.3276;0.00525;1.73355;0.00525;0.04305;0.0336;0.3423;2.47
FDCM0040;137.95;143.8;IC;39.3435;46.3617;0.0378;0.2814;0.0063;1.5771;0.00945;0.0567;0.01365;0.5082;3.19
FDCM0040;143.8;156.95;IN;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
FDCM0047;0;11.05;CG;63.7539;1.8837;0.1155;4.43625;0.02835;6.68955;0.08295;0.1071;0.01995;0.29715;2.88
